order,key,name,mss_number,date_span,description,external_url,cover_image_url
11,john_wells,John Wells 1869,ODHS 769,"November 9, 1869 - November 11, 1871","Whaling vessel, out of New Bedford Massachusetts, mastered by Aaron Dean, on voyage Novemebr 9, 1869 - September 12, 1871; owner-agent: William O. Brownell; built at New York, N.Y., 1822; altered from a ship in 1857; lost in the Arctic 1871 (this voyage).",http://www.whalingmuseum.org/explore/library/logbooks/john_wells-odhs_769,http://whaling-data.oldweather.org/images/John_Wells_leftmost_ship_ODHS_769.jpg
12,progress,Progress ,ODHS 938B,,"Whaling vessel, out of San Francisco, California, on voyage December 16, 1880 - May 28, 1881 to the Off Shore, On the Line, and Western Arctic whaling grounds, mastered by Frederick A. Barker; owner-agent: I.H. Bartlett & Sons.",,http://whaling-data.oldweather.org/images/Progress_ODHS_938B.jpg
13,grampus_1,Grampus 1888,ODHS 948A,"February 11, 1888 - November 5, 1888","Whaling vessel, out of San Francisco, California, mastered by Henry G. Dexter, on voyage February 11, 1888 - November 5, 1888, to the Arctic Ocean whaling grounds; owner-agent: Pacific Steam Whaling Co.; built at East Boston, Massachusetts, 1874.",http://www.whalingmuseum.org/explore/library/logbooks/grampus-odhs_948A,http://whaling-data.oldweather.org/images/Grampus_ODHS948.jpg
14,grampus_2,Grampus 1889,ODHS 948B,"February 26, 1889 - November 12, 1889","Whaling vessel, out of San Francisco, California, mastered by Henry G. Dexter, on voyage February 26, 1889 - November 12, 1889 to the Arctic Ocean whaling grounds; owner-agent: Pacific Steam Whaling Co.; built at East Boston, Massachusetts, 1874.",http://www.whalingmuseum.org/explore/library/logbooks/grampus-odhs_948B,http://whaling-data.oldweather.org/images/Grampus_ODHS948.jpg
15,mary_hume,Mary D. Hume 1890,ODHS 949,"April 19, 1890 - September 30, 1892","Whaling vessel, out of San Francisco, Calif., mastered by James A. Tilton, on voyage April 19, 1890 - September 29, 1892 to the Herschel Island whaling grounds; owner-agent: Josiah N. Knowles; built at Ellensburg, Oregon, 1881.",http://www.whalingmuseum.org/explore/library/logbooks/mary_d_hume-odhs_949,http://whaling-data.oldweather.org/images/Mary_D_Hume_ODHS_949.jpg
16,newport,Newport 1893,ODHS 950,"August 21, 1893 - September 4, 1896","Whaling vessel, out of San Francisco, Calif., mastered by William P. Porter, James Tilton, Hartson H. Bodfish and G.B. Levitt, on whaling voyaged from 1 June 1892-26 Sept. 1898, to the Herschel Island, 20/24, and Fathom whaling grounds; owner-agent: Pacific Steam Whaling Co.; built at San Francisco, Calif., 1875.",http://www.whalingmuseum.org/explore/library/logbooks/newport-odhs_950,http://whaling-data.oldweather.org/images/Newport_ODHS_950.jpg
17,beluga,Beluga 1897,ODHS 951A,"March 30, 1897 - August 31, 1898","Whaling vessel, out of San Francisco, California, mastered by Hartson H. Bodfish, on voyage from March 30, 1897 - March 4, 1899 to the Fathom whaling ground; owner-agent: Edwin L. Griffith; built at Bath, Maine, 1882.",http://www.whalingmuseum.org/explore/library/logbooks/beluga-odhs_951A,http://whaling-data.oldweather.org/images/Beluga_ODHS951.jpg
18,william_baylies_1,William Baylies 1905,ODHS 955,"March 1, 1905 - November 3, 1905","Whaling vessel, out of San Francisco, California, mastered by Hartson Hartlett Bodfish, on voyage from March 1, 1905 - November 3, 1905; owner-agent: William Lewis & Son; built at Bath, Maine in 1886.",http://www.whalingmuseum.org/explore/library/logbooks/william_baylies-odhs_955,http://whaling-data.oldweather.org/images/William_Baylies_ODHS955.jpg
19,william_baylies_2,William Baylies 1906,ODHS 956A,"March 10, 1906 - November 6, 1906","Whaling vessel, out of San Francisco, California, mastered by Hartson H. Bodfish, on voyage from March 10, 1906 - November 7, 1906 to the Northwest Coast whaling grounds; owner-agent: William Lewis & Son; built at Bath, Maine, 1886.",http://www.whalingmuseum.org/explore/library/logbooks/william_baylies-odhs_956A,http://whaling-data.oldweather.org/images/William_Baylies_ODHS955.jpg
20,william_baylies_3,William Baylies 1907,ODHS 956B,"March 10, 1907 - November 7, 1907","Whaling vessel, out of San Francisco, California, mastered by Hartson H. Bodfish, on voyage from March 11, 1907 - November 8, 1907, to the Artic Ocean whaling grounds; owner-agent: William Lewis & Son; built at Bath, Maine, 1886.",http://www.whalingmuseum.org/explore/library/logbooks/william_baylies-odhs_956B,http://whaling-data.oldweather.org/images/William_Baylies_ODHS955.jpg
21,herman_1,Herman 1910,ODHS 958,"May 1, 1910 - October 25, 1910","Whaling vessel, out of San Francisco, California, mastered by Hartson H. Bodfish, on voyage from April 30, 1910 - November 2, 1910, to the Artcic whaling grounds; owner-agent: H. Liebes & Co.; built at Bath, Maine, 1884.",http://www.whalingmuseum.org/explore/library/logbooks/herman-odhs_958,http://whaling-data.oldweather.org/images/Herman_ODHS958.jpg
22,herman_2,Herman 1911,ODHS 959,"March 22, 1911 - November 9, 1911","Whaling vessel, out of San Francisco, California, mastered by Hartson H. Bodfish, on voyage from March 22, 1911 - November 10, 1911 to the Artcic whaling grounds; owner-agent: H. Liebes & Co.; built at Bath, Maine, 1884.",http://www.whalingmuseum.org/explore/library/logbooks/herman-odhs_959,http://whaling-data.oldweather.org/images/Herman_ODHS958.jpg
23,albion_pt1,Albion part 1,NHS 2,"November 8th 1854 to May 4th 1857","Albion of Fairhaven",http://nmdl.org/aowv/whvoyage.cfm?VesselNumber=42,http://whaling-data.oldweather.org/images/placeholder.jpg
24,albion_pt2,Albion part 2,NHS 2,"November 8th 1854 to May 4th 1857","Albion of Fairhaven",http://nmdl.org/aowv/whvoyage.cfm?VesselNumber=42,http://whaling-data.oldweather.org/images/placeholder.jpg
25,albion_pt3,Albion part 3,NHS 2,"November 8th 1854 to May 4th 1857","Albion of Fairhaven",http://nmdl.org/aowv/whvoyage.cfm?VesselNumber=42,http://whaling-data.oldweather.org/images/placeholder.jpg
26,albion_pt4,Albion part 4,NHS 2,"November 8th 1854 to May 4th 1857","Albion of Fairhaven",http://nmdl.org/aowv/whvoyage.cfm?VesselNumber=42,http://whaling-data.oldweather.org/images/placeholder.jpg
